1527828872,1527829472,Localfeatures|Allfeatures|Arpfeatures,ArpSpoof100L2D
1527825643,1527826244,Localfeatures|Allfeatures|Arpfeatures,ArpSpoof1L2D
1527827256,1527827856,Localfeatures|Allfeatures|Arpfeatures,ArpSpoof10L2D
1527851321,1527851923,localTcpPort49153|Tcpfeatures|Localfeatures|Allfeatures|LocalTCPPort8899|49153IP192.168.1.165,TcpSynDevice1L2D
1527852933,1527853533,localTcpPort49153|Tcpfeatures|Localfeatures|Allfeatures|LocalTCPPort8899|49153IP192.168.1.165,TcpSynDevice10L2D
1527854541,1527855141,localTcpPort49153|Tcpfeatures|Localfeatures|Allfeatures|LocalTCPPort8899|49153IP192.168.1.165,TcpSynDevice100L2D
1527918925,1527919526,localIcmpPortAllIP192.168.1.1|Icmpfeatures|Localfeatures|Allfeatures|LocalICMPPortALL,PingOfDeath1L2D
1527920532,1527921132,localIcmpPortAllIP192.168.1.1|Icmpfeatures|Localfeatures|Allfeatures|LocalICMPPortALL,PingOfDeath10L2D
1527922140,1527922740,localIcmpPortAllIP192.168.1.1|Icmpfeatures|Localfeatures|Allfeatures|LocalICMPPortALL,PingOfDeath100L2D
1527945065,1527945666,localUdpPort3080|Udpfeatures|Localfeatures|Allfeatures|LocalUDPPort3080,UdpDevice1L2D
1527946676,1527947276,localUdpPort3080|Udpfeatures|Localfeatures|Allfeatures|LocalUDPPort3080,UdpDevice10L2D
1527948284,1527948884,localUdpPort3080|Udpfeatures|Localfeatures|Allfeatures|LocalUDPPort3080,UdpDevice100L2D
1527883466,1527884066,localTcpPort49153|Tcpfeatures|Localfeatures|Allfeatures|LocalTCPPort8000|49153IP192.168.1.175,TcpSynReflection100L2D2L
1527880245,1527880845,localTcpPort49153|Tcpfeatures|Localfeatures|Allfeatures|LocalTCPPort8000|49153IP192.168.1.175,TcpSynReflection1L2D2L
1527881855,1527882455,localTcpPort49153|Tcpfeatures|Localfeatures|Allfeatures|LocalTCPPort8000|49153IP192.168.1.175,TcpSynReflection10L2D2L
1528014857,1528015457,localUdpPort3080|Udpfeatures|Localfeatures|Allfeatures|LocalUDPPort3080|1900IP192.168.1.175,Ssdp100L2D2L
1528011637,1528012237,localUdpPort3080|Udpfeatures|Localfeatures|Allfeatures|LocalUDPPort3080|1900IP192.168.1.175,Ssdp1L2D2L
1528013251,1528013851,localUdpPort3080|Udpfeatures|Localfeatures|Allfeatures|LocalUDPPort3080|1900IP192.168.1.175,Ssdp10L2D2L
1528008710,1528009310,internetUdpPort123IP129.132.2.21.32|Udpfeatures|Internetfeatures|Localfeatures|Allfeatures|InternetUDPPort123|1900IP129.132.2.21,Ssdp100L2D2W
1528007499,1528008099,internetUdpPort123IP129.132.2.21.32|Udpfeatures|Internetfeatures|Localfeatures|Allfeatures|InternetUDPPort123|1900IP129.132.2.21,Ssdp1L2D2W
1528008104,1528008704,internetUdpPort123IP129.132.2.21.32|Udpfeatures|Internetfeatures|Localfeatures|Allfeatures|InternetUDPPort123|1900IP129.132.2.21,Ssdp10L2D2W
1527870294,1527870894,,TcpSynReflection100W2D2W
1527867093,1527867694,,TcpSynReflection1W2D2W
1527868694,1527869294,,TcpSynReflection10W2D2W
1527939658,1527940258,internetUdpPort123IP129.132.2.21.32|Udpfeatures|Internetfeatures|Allfeatures|InternetUDPPort123|1902IP129.132.2.21,Ssdp100W2D2W
1527936456,1527937057,internetUdpPort123IP129.132.2.21.32|Udpfeatures|Internetfeatures|Allfeatures|InternetUDPPort123|1902IP129.132.2.21,Ssdp1W2D2W
1527938057,1527938657,internetUdpPort123IP129.132.2.21.32|Udpfeatures|Internetfeatures|Allfeatures|InternetUDPPort123|1902IP129.132.2.21,Ssdp10W2D2W
1527908393,1527908994,,TcpSynDevice1W2D
1527909994,1527910594,,TcpSynDevice10W2D
1527911594,1527912194,,TcpSynDevice100W2D
1528213598,1528214199,internetTcpPort8899|Tcpfeatures|Internetfeatures|Allfeatures|InternetTCPPort8899|49153IP149.171.37.10,TcpSynDevice1W2D
1528215199,1528215799,internetTcpPort8899|Tcpfeatures|Internetfeatures|Allfeatures|InternetTCPPort8899|49153IP149.171.37.10,TcpSynDevice10W2D
1528216799,1528217399,internetTcpPort8899|Tcpfeatures|Internetfeatures|Allfeatures|InternetTCPPort8899|49153IP149.171.37.10,TcpSynDevice100W2D
1528298733,1528299333,internetTcpPort8899|Tcpfeatures|Internetfeatures|Allfeatures|InternetTCPPort8899|49153IP149.171.36.232,TcpSynReflection100W2D2W
1528295532,1528296133,internetTcpPort8899|Tcpfeatures|Internetfeatures|Allfeatures|InternetTCPPort8899|49153IP149.171.36.232,TcpSynReflection1W2D2W
1528297133,1528297733,internetTcpPort8899|Tcpfeatures|Internetfeatures|Allfeatures|InternetTCPPort8899|49153IP149.171.36.232,TcpSynReflection10W2D2W
